RUN,TP,CODE,DYNAMIC PRESSURE,TEMP TS,BALANCE TEMP,PRESS TS,N1,N2,S1,S2,A1,R1,Lift (lbf),Drag (lbf),Pitch (in-lbf),Yaw (in-lbf),Side (lbf),Roll (in-lbf),Alpha,Beta
15,21,0,14.847243,89.677801,4200.035394,14.735213,-0.018679,0.012791,0.005438,-0.004172,0.047341,0.00032,0.991719,1.144843,7.288196,-2.277037,-0.194611,0,15,-8
15,22,0,14.84519,89.484283,4200.037978,14.735109,-0.014492,0.009794,0.005156,-0.003857,0.032389,0.002255,0.794195,0.782725,5.611157,-2.093534,-0.197363,0,10,-8
15,23,0,14.842089,89.724639,4200.039436,14.735031,-0.007636,0.004828,0.004731,-0.00352,0.018266,0.001423,0.480847,0.442453,2.846359,-1.836447,-0.178151,0,5,-8
15,24,0,14.831665,89.888466,4200.035134,14.735692,-0.000629,-0.000544,0.004536,-0.003454,0.004587,-0.000879,0.210926,0.113731,-0.055189,-1.679365,-0.151617,0,0,-8
15,25,0,14.836027,89.704059,4200.061789,14.734863,-0.000581,-0.000524,0.005673,-0.004282,0.004612,-0.000945,0.204079,0.114381,-0.077872,-2.092405,-0.193523,0,0,-10
15,26,0,14.816262,89.280517,4200.06488,14.734508,-0.007454,0.004695,0.005847,-0.004409,0.017899,0.001273,0.477372,0.433812,2.75592,-2.255578,-0.206535,0,5,-10
15,27,0,14.831337,89.555005,4200.078579,14.735799,-0.014332,0.009849,0.006369,-0.004727,0.031873,0.002187,0.763273,0.770068,5.569973,-2.531148,-0.243448,0,10,-10
15,28,0,14.820458,89.752596,4200.098817,14.735215,-0.020318,0.014197,0.006847,-0.005159,0.04665,-0.000941,1.035519,1.126808,7.984175,-2.806958,-0.254029,0,15,-10
16,1,1,0,0,0,0,0.164349,0.13334,-0.076513,0.116678,6.681583,0.019514,-49.768549,162.354557,-6.304406,41.508172,-5.62312,0,0,0
16,2,0,0.134867,81.138879,4193.244788,14.821223,-0.001966,0.001169,0.000161,-0.000128,0.040964,-0.00054,0.130934,0.997298,0.719254,-0.081057,-0.008779,0,15,0
17,1,0,14.901525,77.396493,4193.025654,14.704787,-0.000167,0.000058,0.000391,-0.000108,0.007971,-0.000249,0.018387,0.194035,0.045456,-0.105925,-0.045524,0,0,0
17,2,0,14.844279,79.887371,4192.884801,14.705363,-0.005825,0.004244,0.000419,-0.000066,0.022297,-0.005521,0.260729,0.539657,2.352594,-0.183541,-0.063457,0,5,0
17,3,0,14.864342,80.776684,4192.796215,14.705093,-0.010748,0.007814,0.000435,-0.000102,0.037019,-0.008365,0.483878,0.895542,4.341675,-0.263339,-0.065971,0,10,0
17,4,0,14.841288,81.38655,4192.68766,14.705407,-0.015738,0.011265,0.000174,0.000061,0.051266,-0.007651,0.736364,1.240121,6.321672,-0.242646,-0.058678,0,15,0
17,5,0,14.819218,81.817467,4192.518664,14.705016,-0.015816,0.011087,-0.001879,0.001639,0.051275,-0.007674,0.770394,1.240393,6.327267,0.522076,0.001973,0,15,4
